New,Score,Title,Company,Location,Contract,Source,Date,Link
,15,Implementation Services Project Manager,Datadog,"Singapore, Singapore",Full-time,Greenhouse,2026-07-13,https://careers.datadoghq.com/detail/7809909/?gh_jid=7809909
,15,Product Manager II - Alerting,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-21,https://careers.datadoghq.com/detail/8076871/?gh_jid=8076871
,15,Product Manager II - Application Performance Monitoring,Datadog,"Paris, France",Full-time,Greenhouse,2026-06-25,https://careers.datadoghq.com/detail/8028422/?gh_jid=8028422
,15,Product Manager II - Application Performance Monitoring,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/8021327/?gh_jid=8021327
,15,Product Manager II - Model Lab,Datadog,"New York, New York, USA",Full-time,Greenhouse,2026-07-07,https://careers.datadoghq.com/detail/7144556/?gh_jid=7144556
,15,"Technical Program Manager 2, Technical Solutions",Datadog,"Boston, Massachusetts, USA; New York, New York, USA; San Francisco, California, USA",Full-time,Greenhouse,2026-07-14,https://careers.datadoghq.com/detail/8030837/?gh_jid=8030837
,15,"AI Product Manager, Professional Services",Stripe,New York/ San Francisco,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8064526
,15,Commercial Solutions Program Manager,Stripe,"Chicago, IL , Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7206336
,15,"Customer Marketing Program Manager, EMEA",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8064069
,15,People Project Manager,Stripe,"US-Remote, Atlanta, Chicago",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8039954
,15,People Solutions Program Manager,Stripe,US-Remote; US-Chicago; US-Atlanta; CA-Toronto,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7594208
,15,"Product Lead, AI",Stripe,"San Francisco, Seattle, New York, Chicago",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7655023
,15,"Product Lead, Connect",Stripe,"San Francisco, New York City, Seattle, US Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7819759
,15,"Product Lead, EMEA Payments",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8027435
,15,"Product Lead, EMEA Payments",Stripe,Dublin,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7768979
,15,"Product Lead, Support Experience",Stripe,"Seattle, Washington, United States",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7869917
,15,"Product Manager, Capital",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7721834
,15,"Product Manager, Cash Platform",Stripe,New York,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8064900
,15,"Product Manager - Compliance, Bridge",Stripe,"New York, San Francisco or Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7979422
,15,"Product Manager, Ecosystem Risk",Stripe,Dublin,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7943244
,15,"Product Manager, Ecosystem Risk",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7947422
,15,"Product Manager, Ecosystem Risk",Stripe,"New-York, Atlanta, Remote, Toronto",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7984866
,15,"Product Manager, E-Invoicing",Stripe,"Dublin, Ireland",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8041655
,15,"Product Manager, Global Marketplaces",Stripe,London,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8009671
,15,"Product Manager, Global Payouts – Cross-Border & Enterprise Capabilities",Stripe,"New York, NY",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7994443
,15,"Product Manager, Link - Consumer",Stripe,"SF, SEA, NY, Remote-US",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7392697
,15,"Product Manager, Payments",Stripe,"SF, NY, SEA, Remote-US",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7176530
,15,"Product Manager, Sail Core",Stripe,Toronto,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7913698
,15,"Product Manager, Startup Products",Stripe,"NYC, Chicago, Seattle, San Francisco",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7901987
,15,"Product Manager, Terminal Device Expansion",Stripe,San Francisco,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7927089
,15,Program Manager,Stripe,"New York, NY",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7923047
,15,"Program Manager, Agentic Commerce Go-to-Market",Stripe,"New York, NY; San Francisco, CA; Seattle, WA; Chicago, IL; Atlanta, GA",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8017214
,15,"Program Manager, GTM Planning",Stripe,"US-Chicago, US-Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7656504
,15,"Program Manager, Risk Ops Enablement",Stripe,US-Remote,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7214197
,15,"Project Manager, Global Expansion",Stripe,"SF, SEA, NYC, CHI, US-Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8036325
,15,Technical Program Manager,Stripe,Singapore,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7653021
,15,"Technical Program Manager, Core Infrastructure",Stripe,"Seattle, SF, Remote",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7589234
,15,"Technical Program Manager, Extensibility Programs",Stripe,Toronto,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7749540
,15,"Technical Program Manager, Link",Stripe,"San Francisco, New York City",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8014533
,15,"Technical Program Manager, Manager",Stripe,Dublin,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8007738
,15,"Technical Program Manager, Money-as-a-Service",Stripe,Remote in the US,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8042055
,15,"Technical Program Manager, Risk",Stripe,US Remote,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7685855
,15,"Technical Program Manager, Service Infrastructure",Stripe,"Seattle, San Francisco, Remote in the US",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7985196
,15,"Product Manager, EMEA",Airbnb,"London, United Kingdom",Full-time,Greenhouse,2026-05-22,https://careers.airbnb.com/positions/7775427?gh_jid=7775427
,15,"Product Manager, Incubations",Airbnb,"San Francisco, CA, New York, NY",Full-time,Greenhouse,2026-07-09,https://careers.airbnb.com/positions/8044715?gh_jid=8044715
,15,"Product Manager, Relevance and Personalization",Airbnb,"San Francisco, United States",Full-time,Greenhouse,2026-05-07,https://careers.airbnb.com/positions/7905365?gh_jid=7905365
,15,"Product Program Manager, Roadmap Planning & Program Management",Airbnb,"San Francisco, United States",Full-time,Greenhouse,2026-05-28,https://careers.airbnb.com/positions/6557174?gh_jid=6557174
,15,"Program Manager, Community Support",Airbnb,Canada,Full-time,Greenhouse,2026-07-08,https://careers.airbnb.com/positions/7927169?gh_jid=7927169
,15,"Program Manager, Community Support",Airbnb,Canada,Full-time,Greenhouse,2026-07-08,https://careers.airbnb.com/positions/7927170?gh_jid=7927170
,15,Field Technical Program Manager,Databricks,"Seoul, South Korea",Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8598531002
,15,Field Technical Program Manager,Databricks,"Munich, Germany",Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8540665002
,15,"Program Manager, Product Legal",Databricks,"Bellevue, Washington; Boston, Massachusetts; Seattle, Washington; Washington, D.C.",Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8569993002
,15,Sales Dev AI Program Manager,Databricks,Singapore,Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8582993002
,15,Sales Dev AI Program Manager,Databricks,United States,Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8582991002
,15,"Product Manager, AI Platform",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/5830640004?gh_jid=5830640004
,15,"Product Manager, CMS",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/6092802004?gh_jid=6092802004
,15,"Product Manager, Code",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/6100482004?gh_jid=6100482004
,15,"Product Manager, Design Tools",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/5505263004?gh_jid=5505263004
,15,"Technical Program Manager, AI Performance",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/5837760004?gh_jid=5837760004
,15,"Technical Program Manager, Data",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/6009613004?gh_jid=6009613004
,15,"Technical Program Manager, Infrastructure",Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/6020719004?gh_jid=6020719004
,15,Voice of the Customer Program Manager,Figma,"San Francisco, CA • New York, NY • United States",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/6008343004?gh_jid=6008343004
,15,Consumer Product Lead,Duolingo,"Tokyo, Japan",Full-time,Greenhouse,2026-07-21,https://careers.duolingo.com/jobs/8625579002?gh_jid=8625579002
,15,Program Manager - Product,Mirakl,"Bordeaux, France",Full-time,Greenhouse,2026-07-16,https://job-boards.greenhouse.io/mirakl/jobs/6113645004
,15,Professional Services Program Manager,Gitlab,"Remote, US",Full-time,Greenhouse,2026-07-16,https://job-boards.greenhouse.io/gitlab/jobs/8617252002
,15,Technology Enablement Program Manager,Intercom,"Dublin, Ireland; London, England",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/8053727
,15,"Product Manager, Business Banking EU",Monzo,Barcelona,Full-time,Greenhouse,2026-06-10,https://job-boards.greenhouse.io/monzo/jobs/7721700
,15,Website Project Manager Intern,Qonto,Berlin,Internship,Lever,,https://jobs.lever.co/qonto/4442a8c2-a644-4880-a1da-dda5830ff399
,15,Product Lead - Paper.io 2,Voodoo,Amsterdam,Permanent,Lever,,https://jobs.lever.co/voodoo/b7f4121c-346d-4464-8dc8-9380fbe5f928
,15,Product Lead - Paper.io 2,Voodoo,Barcelona,Remote,Lever,,https://jobs.lever.co/voodoo/dd8a3416-3d97-4f8c-a2d8-500d371a0173
,15,Product Lead - Paper.io 2,Voodoo,Paris,Permanent,Lever,,https://jobs.lever.co/voodoo/eba644c7-c3dc-4971-aea0-0f4d7a830658
,14,Company Strategy & Operations,Stripe,US,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8070054
,14,Business Operations and Growth Lead,Airbnb,"Sydney, Australia",Full-time,Greenhouse,2026-06-11,https://careers.airbnb.com/positions/7999656?gh_jid=7999656
,14,"Manager, Partner Strategy & Operations",Databricks,"Bengaluru, India; Mumbai, India",Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8482368002
,14,Marketing Strategy and Operations Lead,Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-02,https://boards.greenhouse.io/cloudflare/jobs/8030678?gh_jid=8030678
,12,Finance and Strategy Specialist,Stripe,Bengaluru,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7597613
,12,"Operations Program Manager, Capital Collections",Stripe,US-NYC or US-SF,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7815794
,12,Strategy and Analytics Business Partner,Stripe,Bengaluru,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7813411
,12,Business Development Representative,Databricks,"Chicago, Illinois",Full-time,Greenhouse,2026-07-17,https://databricks.com/company/careers/open-positions/job?gh_jid=8423165002
,12,Business Development Representative (BDR),Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-02,https://boards.greenhouse.io/cloudflare/jobs/6557318?gh_jid=6557318
,12,"Business Development Representative (BDR), LATAM Spanish Speaking",Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-07,https://boards.greenhouse.io/cloudflare/jobs/7991345?gh_jid=7991345
,12,"Business Development Representative - Danish, Norwegian or Swedish Speaking",Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-06,https://boards.greenhouse.io/cloudflare/jobs/7657028?gh_jid=7657028
,12,Business Development Representative - Dutch Speaking,Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-06,https://boards.greenhouse.io/cloudflare/jobs/7883803?gh_jid=7883803
,12,"Interconnection Manager, Network Strategy Americas",Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-09,https://boards.greenhouse.io/cloudflare/jobs/8046869?gh_jid=8046869
,12,Network Strategy Intern (Fall 2026),Cloudflare,In-Office,Internship,Greenhouse,2026-07-02,https://boards.greenhouse.io/cloudflare/jobs/8013562?gh_jid=8013562
,12,Network Strategy Intern (Fall 2026),Cloudflare,In-Office,Internship,Greenhouse,2026-07-01,https://boards.greenhouse.io/cloudflare/jobs/8031027?gh_jid=8031027
,12,Business Development Representative,Intercom,"Chicago, Illinois",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/7807496
,12,"Business Development Representative, Emerging AI Products",Intercom,"Chicago, Illinois",Full-time,Greenhouse,2026-07-20,https://job-boards.greenhouse.io/intercom/jobs/7807509
,10,"Manager II, Implementation Services Project Manager - Denver",Datadog,"Denver, Colorado, USA",Full-time,Greenhouse,2026-07-21,https://careers.datadoghq.com/detail/8028917/?gh_jid=8028917
,10,"FinOps Program Manager,  AI Enablement",Stripe,IN-Bengaluru,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7975826
,10,"Product Manager, Connect",Stripe,N/A,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8065034
,10,"Product Manager, Link - Local Payment Methods",Stripe,USA,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7981330
,10,"Product Manager, Risk & Compliance",Stripe,Bengaluru,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7625842
,10,"Product Manager, Treasury for Platforms",Stripe,"NYC, SF, SEA",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7561053
,10,"Program Manager, Business Practices",Stripe,Mexico City,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7942923
,10,"Program Manager, Commercial Solutions",Stripe,Mexico City,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7967356
,10,"Program Manager, Go To Market",Stripe,SF,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7922532
,10,"Program Manager, Third Party Risk",Stripe,"SF, SEA, CHI, NYC, ATL",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7559403
,10,"Project Manager, Total Rewards",Stripe,"CHI, ATL, US-REM",Full-time,Greenhouse,2026-07-22,https://stripe.com/jobs/search?gh_jid=8077547
,10,"Project Manager, Treasury Finance",Stripe,NYC,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8047395
,10,"Regulatory Reporting Program Manager, Stablecoin",Stripe,"SEA, SF, NYC, CHI",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7650177
,10,Support Process Program Manager,Stripe,"Mexico City, Mexico",Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7858716
,10,"Technical Program Manager, Bridge",Stripe,N/A,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=8050340
,10,"Technical Program Manager, Risk",Stripe,Bangalore,Full-time,Greenhouse,2026-07-21,https://stripe.com/jobs/search?gh_jid=7678655
,10,"Product Manager, Identity",Airbnb,"California, Oregon, Washington",Full-time,Greenhouse,2026-07-20,https://careers.airbnb.com/positions/8055637?gh_jid=8055637
,10,"Field Technical Program Manager, Forward Deployed Engineering - LATAM",Databricks,"Sao Paulo, Brazil",Full-time,Greenhouse,2026-07-18,https://databricks.com/company/careers/open-positions/job?gh_jid=8423289002
,10,"Product Manager - Figma Weave (Tel-Aviv, Israel)",Figma,"Tel Aviv, Israel",Full-time,Greenhouse,2026-07-22,https://boards.greenhouse.io/figma/jobs/5991338004?gh_jid=5991338004
,10,"Product Manager, AI Access",Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-17,https://boards.greenhouse.io/cloudflare/jobs/7904142?gh_jid=7904142
,10,Professional Services Project Manager,Cloudflare,Hybrid,Full-time,Greenhouse,2026-07-09,https://boards.greenhouse.io/cloudflare/jobs/8050384?gh_jid=8050384
,10,Sales Project Manager Intern (AI Innovation) (Fall 2026),Cloudflare,In-Office,Internship,Greenhouse,2026-07-06,https://boards.greenhouse.io/cloudflare/jobs/8020830?gh_jid=8020830
